example_id,has_deffect,no_hat,no_face,no_head,no_leg,no_body,no_hand,no_arm
adsyjmgvp,0,0,0,0,0,0,0,0
agmpdjsyv,1,1,1,0,1,0,0,0
ajgyvdsmp,0,0,0,0,0,0,0,0
ajsdmvypg,0,0,0,0,0,0,0,0
apmjvdgys,0,0,0,0,0,0,0,0
apsjdmgyv,0,0,0,0,0,0,0,0
avdmyspjg,1,1,0,0,0,0,0,0
aymdvsgjp,1,0,1,0,1,0,0,0
damgvpyjs,1,0,0,0,0,0,1,0
dapysjvmg,0,0,0,0,0,0,0,0
dgpmysvja,1,0,0,0,0,1,0,0
djmygaspv,0,0,0,0,0,0,0,0
djpamsvyg,1,0,0,0,0,1,0,0
djsyamvpg,1,1,1,0,1,0,0,0
djvmsypga,1,1,1,1,0,0,0,0
dsmjgpyva,1,0,0,0,1,0,1,0
dvsgjyamp,1,0,0,0,0,1,0,0
dyagsmjpv,1,0,1,0,0,0,1,0
dyjmagvsp,1,1,0,0,0,0,0,0
gamdsyvpj,1,1,1,0,0,0,0,0
gamysvpjd,1,0,0,0,0,0,1,1
gavdysmpj,1,1,1,1,0,0,0,0
gayjdmsvp,1,0,0,0,0,0,1,0
gdayvspjm,0,0,0,0,0,0,0,0
gdpasmyjv,1,0,0,0,0,0,1,1
gjamydvps,0,0,0,0,0,0,0,0
gjaydmpvs,1,0,1,0,0,0,0,0
gjysadvpm,1,0,0,0,0,0,0,1
gmdypvasj,1,0,1,0,0,0,0,0
gmpjsdyva,0,0,0,0,0,0,0,0
gmvasyjdp,1,0,0,0,0,0,1,0
gsvpydjam,1,0,0,0,0,1,0,0
gvpdjyasm,0,0,0,0,0,0,0,0
gypsamvdj,0,0,0,0,0,0,0,0
javpsymdg,1,0,1,0,0,0,0,0
jdgmyvspa,1,0,0,0,0,1,0,0
jdpvagysm,0,0,0,0,0,0,0,0
jmgpysdav,1,0,0,0,1,0,1,1
jsavdgmpy,1,0,0,0,0,0,1,1
jspgvdyam,0,0,0,0,0,0,0,0
jvpyadmsg,1,0,1,0,0,0,0,0
jymspvagd,1,0,0,0,0,0,1,1
jypgsvadm,1,0,0,0,0,1,0,0
mdjgyasvp,1,1,0,0,0,0,0,0
mjydaspvg,1,0,0,0,1,0,0,0
mvdgjspay,1,1,0,0,0,0,0,0
mvdsagyjp,1,1,0,0,0,0,1,0
mvgspjayd,1,1,0,0,0,0,0,0
mvyagpjds,0,0,0,0,0,0,0,0
pagjsvdym,1,1,1,1,0,0,0,0
paygmvsjd,1,0,0,0,1,0,0,0
payvjsdmg,1,0,0,0,1,0,0,0
pdmjvgyas,1,1,1,1,0,0,0,0
pgsjavydm,1,0,0,0,1,0,0,0
pjmgsavdy,1,0,0,0,1,0,0,0
pjmvsaygd,1,0,0,0,0,0,1,0
pjmygdasv,1,1,1,0,1,0,0,0
pjsgaydvm,1,0,1,0,0,0,0,0
pjvasmdyg,0,0,0,0,0,0,0,0
pmagdsvjy,0,0,0,0,0,0,0,0
pmdgasjvy,1,0,0,0,0,0,1,0
pmgsvayjd,0,0,0,0,0,0,0,0
pmvgdajsy,1,0,1,0,0,0,0,0
pmvgdjsya,0,0,0,0,0,0,0,0
psjvdygam,1,1,1,0,0,0,0,0
psmaygjvd,1,0,0,0,0,0,1,1
pvagsjdmy,1,0,0,0,0,0,1,0
pvjsgadmy,0,0,0,0,0,0,0,0
pyajsgdvm,0,0,0,0,0,0,0,0
pyjvsadmg,1,0,0,0,0,1,0,0
sadgjpyvm,1,0,0,0,0,0,1,0
saymjdvgp,1,0,1,0,0,0,0,0
sdpgavymj,0,0,0,0,0,0,0,0
sgmypajdv,1,0,0,0,0,1,0,0
sgpdmajvy,1,0,0,0,0,0,1,1
sgvydajmp,0,0,0,0,0,0,0,0
smajygdvp,1,1,0,0,0,0,0,0
smgjavydp,1,0,0,0,0,0,1,1
spdgjavmy,0,0,0,0,0,0,0,0
sygmdvpaj,1,1,0,0,0,0,0,0
sypavdgmj,0,0,0,0,0,0,0,0
vamdgpysj,1,0,1,0,0,0,0,0
vaspmgjyd,1,0,0,0,0,0,1,0
vjgsypamd,1,0,0,0,1,0,0,0
vjpmaydgs,1,0,0,0,1,0,0,0
vsaypdjmg,0,0,0,0,0,0,0,0
vsymjpgad,0,0,0,0,0,0,0,0
vypdsmajg,0,0,0,0,0,0,0,0
yadpvgmsj,1,0,1,0,0,0,0,0
yajmgvpsd,1,1,1,0,0,0,1,1
